File_Name,ParticipantID,Device,ConditionNr,ASL,SNR,Speech Percentage,Duration,Bandwidth
P02_M_C9_Headset_S03.wav,P02,Headset (Sennheiser PXC 550),9,-33.191167577346526,38.53947425284192,0.9275055088389458,19.648004535147397,FB
P02_M_C9_Headset_S04.wav,P02,Headset (Sennheiser PXC 550),9,-34.68758960969298,44.9749425874083,0.8381603363144864,20.031995464852606,FB
P02_M_C9_Headset_S05.wav,P02,Headset (Sennheiser PXC 550),9,-33.09775642127648,55.28625355943149,0.8727417449497885,9.728004535147392,FB
P03_F_C1_Smartphone_S01.wav,P03,Smartphone (iPhone 11 Pro),1,-26.35217809514707,40.19131081748679,0.8025593224887473,17.983990929705215,FB
P03_F_C1_Smartphone_S02.wav,P03,Smartphone (iPhone 11 Pro),1,-25.47237297144889,39.09400278607213,0.7765987967164573,16.511995464852607,SWB
P03_F_C1_Smartphone_S03.wav,P03,Smartphone (iPhone 11 Pro),1,-25.1982588473666,39.58391760115225,0.8129835574039547,17.151995464852607,SWB
P03_F_C1_Smartphone_S04.wav,P03,Smartphone (iPhone 11 Pro),1,-24.84670806042736,40.92958095455749,0.8262501045705215,15.893333333333333,FB
P03_F_C1_Smartphone_S05.wav,P03,Smartphone (iPhone 11 Pro),1,-23.3507757446832,42.1835802575707,0.6810547996818894,10.453333333333331,SWB
P03_F_C2_AirPods_S01.wav,P03,AirPods,2,-30.385184249015435,39.19158919527093,0.826026543088946,17.902585034013605,NB
P03_F_C2_AirPods_S02.wav,P03,AirPods,2,-27.882983599712425,40.53851923988759,0.7692698566383326,16.788027210884355,NB
P03_F_C2_AirPods_S03.wav,P03,AirPods,2,-27.38612702031953,37.28141764516501,0.8103923545310996,17.647165532879818,NB
P03_F_C2_AirPods_S04.wav,P03,AirPods,2,-27.023968217484885,38.99252866589506,0.762802866879627,18.04190476190476,NB
P03_F_C2_AirPods_S05.wav,P03,AirPods,2,-25.826721945372245,43.75581770844719,0.5901303296071176,12.422675736961452,NB
P03_F_C3_Laptop_S01.wav,P03,Laptop (Lenovo ThinkPad X1 Carbon),3,-17.5447035533691,38.39519731268244,0.778445599780888,17.151995464852607,WB
P03_F_C3_Laptop_S02.wav,P03,Laptop (Lenovo ThinkPad X1 Carbon),3,-16.23099817112097,39.45610543881175,0.6718647426547862,16.64,WB
P03_F_C3_Laptop_S03.wav,P03,Laptop (Lenovo ThinkPad X1 Carbon),3,-15.788629175245829,38.04633322669929,0.7093948467886078,17.51467120181406,WB
P03_F_C3_Laptop_S04.wav,P03,Laptop (Lenovo ThinkPad X1 Carbon),3,-15.559099299867167,39.149443978560605,0.6833066019179939,18.56,WB
P03_F_C3_Laptop_S05.wav,P03,Laptop (Lenovo ThinkPad X1 Carbon),3,-15.306439969932493,41.94345320895452,0.5934633149166831,12.24532879818594,WB
P03_F_C4_AirPods_S01.wav,P03,AirPods,4,-31.893132396956226,39.06657218704504,0.7667886641761631,17.08988662131519,FB
P03_F_C4_AirPods_S02.wav,P03,AirPods,4,-29.38846918161893,38.15450125205243,0.6992483338171224,17.345306122448978,NB
P03_F_C4_AirPods_S03.wav,P03,AirPods,4,-30.317841411830543,37.09178120136997,0.7243660132609415,18.877823129251706,NB
P03_F_C4_AirPods_S04.wav,P03,AirPods,4,-29.597120851231782,37.74160761244044,0.6217835441373513,20.45678004535148,NB
P03_F_C4_AirPods_S05.wav,P03,AirPods,4,-28.15180389245405,42.70734029689684,0.5892770391879395,11.54031746031746,NB
P03_F_C5_Laptop_S01.wav,P03,Laptop (Lenovo ThinkPad X1 Carbon),5,-18.953943250517806,38.23460872574833,0.5873560910457473,18.32532879818594,WB
P03_F_C5_Laptop_S02.wav,P03,Laptop (Lenovo ThinkPad X1 Carbon),5,-16.62077605012248,37.3363007378797,0.6468271804485878,16.981337868480725,WB
P03_F_C5_Laptop_S03.wav,P03,Laptop (Lenovo ThinkPad X1 Carbon),5,-16.832396422822793,37.3130648802652,0.6753448734842636,17.983990929705215,WB
P03_F_C5_Laptop_S04.wav,P03,Laptop (Lenovo ThinkPad X1 Carbon),5,-16.96624352676824,36.92315087196278,0.6755009641625472,16.256009070294784,WB
P03_F_C5_Laptop_S05.wav,P03,Laptop (Lenovo ThinkPad X1 Carbon),5,-16.741526449432246,41.38906164342328,0.5035985931832493,11.306666666666668,WB
P03_F_C6_Smartphone_S01.wav,P03,Smartphone (iPhone 11 Pro),6,-16.361768696989834,36.36544001055603,0.9820258981701,16.490657596371882,SWB
P03_F_C6_Smartphone_S02.wav,P03,Smartphone (iPhone 11 Pro),6,-16.459939979321607,38.47553085799653,0.9519770116117386,15.72267573696145,SWB
P03_F_C6_Smartphone_S03.wav,P03,Smartphone (iPhone 11 Pro),6,-16.971516207981992,34.759923069908375,0.9700683721898334,16.810657596371883,FB
P03_F_C6_Smartphone_S04.wav,P03,Smartphone (iPhone 11 Pro),6,-16.973613960240158,38.48624568985579,0.9263670254341706,17.023990929705214,FB
P03_F_C6_Smartphone_S05.wav,P03,Smartphone (iPhone 11 Pro),6,-16.50847144983276,43.51321290369036,0.9017179821972432,10.56,SWB
P03_F_C7_AirPods_S01.wav,P03,AirPods,7,-25.223683108095585,39.93944275779965,0.7862066687758388,16.72532879818594,SWB
P03_F_C7_AirPods_S02.wav,P03,AirPods,7,-25.159373995930668,39.64987866274048,0.7611317757919024,15.40267573696145,SWB
P03_F_C7_AirPods_S03.wav,P03,AirPods,7,-24.20343407543705,38.51955598532782,0.7947408482827115,16.55467120181406,SWB
P03_F_C7_AirPods_S04.wav,P03,AirPods,7,-24.589928455300125,39.46292110748296,0.7586662331573906,16.213333333333335,SWB
P03_F_C7_AirPods_S05.wav,P03,AirPods,7,-23.22009577133918,43.23740401015412,0.7178508192585554,9.813333333333333,SWB
P03_F_C8_Smartphone_S01.wav,P03,Smartphone (iPhone 11 Pro),8,-16.45981787423903,36.54103429704348,0.9864434625856632,16.46934240362812,SWB
P03_F_C8_Smartphone_S02.wav,P03,Smartphone (iPhone 11 Pro),8,-17.254318280837776,36.92290411484296,0.9526180069957104,15.210657596371885,SWB
P03_F_C8_Smartphone_S03.wav,P03,Smartphone (iPhone 11 Pro),8,-18.937444535931085,38.47996267595128,0.9576856474500972,16.256009070294784,SWB
P03_F_C8_Smartphone_S04.wav,P03,Smartphone (iPhone 11 Pro),8,-16.798113013013722,39.91064747234749,0.970634220831042,15.146666666666668,SWB
P03_F_C8_Smartphone_S05.wav,P03,Smartphone (iPhone 11 Pro),8,-17.193562837012234,46.29750893728324,0.9174553215701876,9.493333333333334,SWB
P03_F_C9_AirPods_S01.wav,P03,AirPods,9,-27.43821826617104,39.08336368556321,0.835507196357001,15.573333333333334,SWB
P03_F_C9_AirPods_S02.wav,P03,AirPods,9,-25.206867008176538,39.55463957176556,0.7533782856774746,15.44532879818594,SWB
P03_F_C9_AirPods_S03.wav,P03,AirPods,9,-24.701214355173896,39.59401002789247,0.8029206768437621,16.213333333333335,SWB
P03_F_C9_AirPods_S04.wav,P03,AirPods,9,-24.691435473746743,38.983355193102526,0.7618965817008664,15.91467120181406,SWB
P03_F_C9_AirPods_S05.wav,P03,AirPods,9,-24.659781433523595,44.4602444359744,0.6536981030877447,10.24,SWB
P04_M_C1_Laptop_S01.wav,P04,Laptop (Lenovo ThinkPad X1 Carbon),1,-20.838829598667967,41.16856841667661,0.7614251749156766,18.858662131519274,WB
