,Participant_ID,Gender,Condition,Device,Sentence,File_Name,Remarks,ASL,Percentage of Speech,Duration,Loudness,Bandwidth,SNR
81,P01,F,U-Bhf,AirPods,S02,P01_F_C8_AirPods_S02.wav,,-24.669380446183805,0.9009835297606968,11.263990929705216,-24.89240598180613,WB,36.33391056946928
82,P01,F,U-Bhf,AirPods,S03,P01_F_C8_AirPods_S03.wav,,-24.786013953825837,0.8942937462852032,13.183990929705216,-25.26237794534439,SWB,35.200006635998704
83,P01,F,U-Bhf,AirPods,S04,P01_F_C8_AirPods_S04.wav,,-25.54431620455545,0.8870221411133306,13.183990929705216,-25.85867434348892,SWB,35.65885768433352
84,P01,F,U-Bhf,AirPods,S05,P01_F_C8_AirPods_S05.wav,,-24.828066247374597,0.8694344459612025,7.296009070294785,-25.073230721302355,SWB,40.91396089760938
85,P01,F,Mensa,Smartphone (iPhone 11 Pro),S01,P01_F_C9_Smartphone_S01.wav,,-25.79324099345491,0.8669463145082253,14.35732426303855,-26.37174104966244,SWB,43.04800513089259
86,P01,F,Mensa,Smartphone (iPhone 11 Pro),S02,P01_F_C9_Smartphone_S02.wav,,-25.447411645697063,0.8602080361049346,12.821337868480724,-26.027825570111432,SWB,42.812034373674656
87,P01,F,Mensa,Smartphone (iPhone 11 Pro),S03,P01_F_C9_Smartphone_S03.wav,,-24.823537445536317,0.92592276808648,13.269342403628118,-25.318825020272275,SWB,49.92225727941978
88,P01,F,Mensa,Smartphone (iPhone 11 Pro),S04,P01_F_C9_Smartphone_S04.wav,,-24.35841701130659,0.975758580080708,12.842675736961452,-24.75506889549923,SWB,99.0
89,P01,F,Mensa,Smartphone (iPhone 11 Pro),S05,P01_F_C9_Smartphone_S05.wav,,-22.449915325153995,0.8876166156839892,7.1893424036281175,-22.82058248398616,SWB,56.898635048180665
90,P02,M,In the lab doors/windows closed,Smartphone (iPhone 11 Pro),S01,P02_M_C1_Smartphone_S01.wav,,-28.583437076757715,0.810198636337178,13.951995464852608,-29.151434704931184,FB,42.85124126669664
91,P02,M,In the lab doors/windows closed,Smartphone (iPhone 11 Pro),S02,P02_M_C1_Smartphone_S02.wav,,-27.14536205277963,0.7925646174862795,13.823990929705216,-27.86172244486817,FB,42.80578268502333
92,P02,M,In the lab doors/windows closed,Smartphone (iPhone 11 Pro),S03,P02_M_C1_Smartphone_S03.wav,,-26.683256225701328,0.8389573005275262,15.296009070294785,-27.47816052633521,SWB,40.4815549256789
93,P02,M,In the lab doors/windows closed,Smartphone (iPhone 11 Pro),S04,P02_M_C1_Smartphone_S04.wav,,-27.10052276846561,0.7883721253562164,15.018662131519276,-27.72355129838772,FB,43.26789471785876
94,P02,M,In the lab doors/windows closed,Smartphone (iPhone 11 Pro),S05,P02_M_C1_Smartphone_S05.wav,,-25.505538344920748,0.7771591906585914,7.722675736961452,-26.133166988722436,FB,48.21490634443248
95,P02,M,In the lab TV noise,Laptop (Lenovo ThinkPad X1 Carbon),S01,P02_M_C2_Laptop_S01.wav,,-17.09635904525537,0.7693721200744434,13.35467120181406,-14.76758276509734,WB,37.93061632714613
96,P02,M,In the lab TV noise,Laptop (Lenovo ThinkPad X1 Carbon),S02,P02_M_C2_Laptop_S02.wav,,-16.620544800346543,0.7468862486634106,14.16532879818594,-14.21697604788482,WB,38.542670434485984
97,P02,M,In the lab TV noise,Laptop (Lenovo ThinkPad X1 Carbon),S03,P02_M_C2_Laptop_S03.wav,,-15.768632147155696,0.739928890842634,16.0,-13.23118087429673,WB,37.04890376403113
98,P02,M,In the lab TV noise,Laptop (Lenovo ThinkPad X1 Carbon),S04,P02_M_C2_Laptop_S04.wav,,-16.72348423848282,0.6389376486479408,16.36267573696145,-14.437185591486356,WB,38.613330739561285
99,P02,M,In the lab TV noise,Laptop (Lenovo ThinkPad X1 Carbon),S05,P02_M_C2_Laptop_S05.wav,,-16.058440589651617,0.6076562874357265,9.941337868480726,-13.655157875113137,WB,43.24012353796423
100,P02,M,In the lab open windows,Smartphone (iPhone 11 Pro),S01,P02_M_C3_Smartphone_S01.wav,,-20.85073938572746,0.8149901315342554,14.378662131519274,-21.383814940887078,FB,44.70430078248558
101,P02,M,In the lab open windows,Smartphone (iPhone 11 Pro),S02,P02_M_C3_Smartphone_S02.wav,,-22.994262359409888,0.8586665628631196,12.43732426303855,-23.62576890123512,FB,44.39135497392449
102,P02,M,In the lab open windows,Smartphone (iPhone 11 Pro),S03,P02_M_C3_Smartphone_S03.wav,,-20.378589949680915,0.8097235394090048,14.250657596371882,-21.00767997375182,FB,46.18318667503317
103,P02,M,In the lab open windows,Smartphone (iPhone 11 Pro),S04,P02_M_C3_Smartphone_S04.wav,,-21.967863842970573,0.8817540555676386,15.36,-22.12541317476703,FB,45.0576110849742
104,P02,M,In the lab open windows,Smartphone (iPhone 11 Pro),S05,P02_M_C3_Smartphone_S05.wav,,-21.16339836330158,0.7726082347034646,8.085328798185941,-21.844351901053923,SWB,49.458895115100425
105,P02,M,In the lab open door,Laptop (Lenovo ThinkPad X1 Carbon),S01,P02_M_C4_Laptop_S01.wav,,-19.361170924572253,0.7485957620577326,14.933333333333334,-16.982414163634658,WB,40.97955771737055
